address,total_received_sol,total_sent_sol,net_flow_sol,tx_count,depth,is_endpoint,cluster
55ZNPyNU8rPoin41G5mkYugi1nAvWC1YSaGh7zMW92Gi,3.723795200,3.575851741,0.147943459,726,0,false,N/A
AF4jW3tHUQTgcPVPhpkgKbDr8fWeD87CG3J4dLXC1Qfn,607936.427221972,129944172.698197216,-129336236.270975247,1339,1,false,CLUSTER_0
7dy3qb5eHnmRea6UULXmmHsxxCrLxEr7dYYwQcM5GrB,0.089413587,0.000000000,0.089413587,1,2,true,N/A
aeroQ8mh2iGppt83GGfpyC6ca3keBfq8jkYzgk5U9zS,0.092929965,0.000000000,0.092929965,161,2,true,CLUSTER_1
CqPVCmW97SetweExTjdZmnD3X6YCZvYnybAJKazcY2hn,0.002039280,0.002039280,0.000000000,15,2,false,N/A
,0.000000000,0.000000000,0.000000000,0,2,true,N/A
EtBneufXsMVDm1XjQWTZG5F3cXHEuh5vMdQdxDsdG7FW,0.002039280,0.002039280,0.000000000,24,2,false,N/A
ARu4n5mFdZogZAravu7CcizaojWnS6oqka37gdLT5SZn,73086320.272443086,73086319.472953796,0.799489296,1190,1,false,CLUSTER_2
EmDewJpfQaxWqxthX1FUyBCCPNGt8Ac5ek4M4pnGTgxC,328589.545326342,97493.496324116,231096.049002226,748,2,false,CLUSTER_3
ELp3rjbAncW8FLAPvmWS6vjG4FXFLDo1HiKh4PhQBgvx,9207.568413000,491.995820000,8715.572593000,51,2,false,CLUSTER_4
7rBXnWDuVNL7JtV3s29X7oQg8cQPpSDrS6pEXGys5Tbk,2915935.928951769,2811006.348654352,104929.580297417,1163,2,false,CLUSTER_5
BEochrdGhm5pcKVF73DURYrGo1DLzxq6bBcUBphQR64d,5.373743584,0.000000000,5.373743584,1294,2,true,N/A
6kT4MhDqKrkWikaGpFCvYsk45BUKXEe2gTpNGAR1YcjS,530.625257767,356.037116949,174.588140818,932,2,false,CLUSTER_6
