address,total_received_sol,total_sent_sol,net_flow_sol,tx_count,depth,is_endpoint,cluster
7xKXtg2CW87d97TXJSDpbD5jBkheTqA83TZRuJosgAsU,0.000000001,0.000000000,0.000000001,835,0,false,N/A
4MWFZV2PV4xbgF54Yx7mCdUgusDGbP2ZLSXd54k9iwQ8,0.000000000,0.000000401,-0.000000401,401,1,false,CLUSTER_0
9vT1iQ4V62M6q9xTSCf7diiWmDeD2d7QSVm1UWPqJZ7H,85.316420766,13.797162534,71.519258232,275,2,false,CLUSTER_1
xHaKrVPfc5mS6mN3iMwH6e4xX4FmCfSBJAAfgEEVWKp,21.232161801,21.228473000,0.003688801,15,3,false,N/A
5Hr7wZg7oBpVhH5nngRqzr5W7ZFUfCsfEhbziZJak7fr,0.150724637,0.675001425,-0.524276788,1796,3,false,CLUSTER_2
fLiPgg2yTvmgfhiPkKriAHkDmmXGP6CdeFX9UF5o7Zc,1002910.396746571,2051.273563609,1000859.123182962,679,3,false,CLUSTER_3
Habp5bncMSsBC3vkChyebepym5dcTNRYeg2LVG464E96,132012.851519555,8245073324.426609039,-8244941311.575089455,1017,3,false,CLUSTER_4
6c4oh2nGuHA3xcQFrgk6cmUroLxs8J9KJ5yV5a2V3j8p,0.002039281,0.000000000,0.002039281,8,2,true,N/A
8SdAUbgnW5oFfwDjCEdqYBZwuChVc5UoFTQjvUUzhzp,13787.807856469,160.176919613,13627.630936856,180,3,false,CLUSTER_5
5JgAw3JgpwUBuQCkG8KmY1zGnDCjVHPpadytfqKfqvm3,0.001628641,0.000000000,0.001628641,6,2,true,N/A
2snHHreXbpJ7UwZxPe37gnUNf7Wx7wv6UKDSR2JckKuS,3565397225.555485725,3518571078.267893314,46826147.287592448,486,3,false,CLUSTER_6
3GSErW15eq52aRDow2GXWV4rR2GSeq9BQDC6GYe1QyEn,0.001628641,0.000000000,0.001628641,4,2,true,N/A
