address,total_received_sol,total_sent_sol,transaction_count,first_seen,last_seen
AF4jW3tHUQTgcPVPhpkgKbDr8fWeD87CG3J4dLXC1Qfn,76020205.458443120,0.683190139,285,2025-11-21T11:54:05.000Z,2026-01-22T22:44:11.000Z
ARu4n5mFdZogZAravu7CcizaojWnS6oqka37gdLT5SZn,325959058.948506236,2.892661602,315,2025-11-21T11:54:05.000Z,2026-01-22T22:44:11.000Z
3UDRUc4RHo7o9nYcuNWZvkckPT48TiGZd4tEm6tqx33m,422379.968571214,0.000000000,8,2025-11-23T02:48:43.000Z,2026-01-22T22:44:11.000Z
5Gfh6dRhdbuzjGBPyDVgxUNwb2FNGaAQHLkig5Y3EPvi,36565.371222280,0.000000000,4,2025-11-23T02:26:58.000Z,2026-01-22T19:20:37.000Z
H8dd81QymYuXB1oCpJuAC7hwTaF9tNYFmthZhD72aihf,258902.964961556,0.000000000,5,2025-11-26T22:50:03.000Z,2026-01-22T19:07:29.000Z
GpMZbSM2GgvTKHJirzeGfMFoaZ8UR2X7F4v8vHTvxFbL,410861.491673000,0.000000000,9,2025-11-23T00:22:48.000Z,2026-01-22T19:07:03.000Z
5dhYayH9qvzNyCPoh2hKN8TJqumoGsWdyZ9UfPLXBfD9,0.043964579,0.000000000,1,2026-01-22T19:07:03.000Z,2026-01-22T19:07:03.000Z
97JVhRKYWkoZVyvCjd9eVLFVLNaRNP9PUhyjopHoLEHh,0.142237559,0.000000000,6,2025-11-26T10:26:50.000Z,2026-01-19T14:13:12.000Z
7A6b47F2xV3KforFGPKBAXgRtzek4CtJ8oAsfw15WPLG,185236.035995000,0.000000000,1,2025-12-10T20:41:23.000Z,2025-12-10T20:41:23.000Z
2KFvejGmcwK2UVYggdTQbgQE4tMaoSw4Tyen2SHon4VF,101557.471919691,0.000000000,4,2025-12-01T21:18:00.000Z,2025-12-08T09:49:57.000Z
5Q544fKrFoe6tsEbD7S8EmxGTJYAKtTVhAW5Q5pge4j1,69961981.065788075,0.000000000,5,2025-11-23T13:48:22.000Z,2025-11-29T15:29:57.000Z
7imnGYfCovXjMWKdbQvETFVMe72MQDX4S5zW4GFxMJME,9.846151000,0.000000000,4,2025-11-23T13:39:38.000Z,2025-11-28T02:12:26.000Z
9dnMXhi2crnvLEMduivns7y3WMELA6dRQV4Fc2gjskgr,87078.478732000,0.000000000,1,2025-11-28T02:12:26.000Z,2025-11-28T02:12:26.000Z
Fn68NZzCCgZKtYmnAYbkL6w5NNx3TgjW91dGkLA3hsDK,13.807124000,0.000000000,1,2025-11-28T02:12:26.000Z,2025-11-28T02:12:26.000Z
CQUfYBxF2KFVjYyCPyGa7JCFX9zw2PwmNnECzY3merGA,10.920156000,0.000000000,1,2025-11-28T02:12:26.000Z,2025-11-28T02:12:26.000Z
BKA7zC19FwWzVxPHwxAe7ZTbgyqoC3wUsioK6pGs5pVx,451985.278162999,0.000000000,3,2025-11-23T12:28:01.000Z,2025-11-28T01:11:04.000Z
Gid3KijQy1q5nwWXvTzWTck8agPSf6MT9Lj9DYCp3mBE,0.347967670,0.000000000,3,2025-11-28T00:23:25.000Z,2025-11-28T00:23:25.000Z
BD1jUfgyoykHNiPwvoPjU7sqxSbEcPRscuw2hChewNfJ,1017172.345443000,0.000000000,3,2025-11-26T13:59:02.000Z,2025-11-27T13:25:10.000Z
jwJpYNkXMWWoRuhFPqxYjTVzdwiHaVsvzV8SFfRQrMv,139313.430130000,0.000000000,1,2025-11-27T09:03:06.000Z,2025-11-27T09:03:06.000Z
