signature,timestamp,from,to,amount_sol,type,status
3NqNdDkRGJMmrBXXzgVCQoKjCseUCexakoERDWqU939Utvzv7ciDRgKUVZBfwuhHeY11K5Mk7K6MHbHkrpTwp6a,2026-01-22T22:44:11.000Z,AF4jW3tHUQTgcPVPhpkgKbDr8fWeD87CG3J4dLXC1Qfn,55ZNPyNU8rPoin41G5mkYugi1nAvWC1YSaGh7zMW92Gi,0.00203928,SOL,success
3NqNdDkRGJMmrBXXzgVCQoKjCseUCexakoERDWqU939Utvzv7ciDRgKUVZBfwuhHeY11K5Mk7K6MHbHkrpTwp6a,2026-01-22T22:44:11.000Z,AF4jW3tHUQTgcPVPhpkgKbDr8fWeD87CG3J4dLXC1Qfn,6HRgJMRmjaj2svP9GpRbUU5TPzLAHnBW3sHgYVbirWYE,0.000006,SOL,success
3NqNdDkRGJMmrBXXzgVCQoKjCseUCexakoERDWqU939Utvzv7ciDRgKUVZBfwuhHeY11K5Mk7K6MHbHkrpTwp6a,2026-01-22T22:44:11.000Z,55ZNPyNU8rPoin41G5mkYugi1nAvWC1YSaGh7zMW92Gi,AF4jW3tHUQTgcPVPhpkgKbDr8fWeD87CG3J4dLXC1Qfn,0.013327245,SOL,success
3NqNdDkRGJMmrBXXzgVCQoKjCseUCexakoERDWqU939Utvzv7ciDRgKUVZBfwuhHeY11K5Mk7K6MHbHkrpTwp6a,2026-01-22T22:44:11.000Z,AF4jW3tHUQTgcPVPhpkgKbDr8fWeD87CG3J4dLXC1Qfn,ARu4n5mFdZogZAravu7CcizaojWnS6oqka37gdLT5SZn,517481.078951,TOKEN,success
3NqNdDkRGJMmrBXXzgVCQoKjCseUCexakoERDWqU939Utvzv7ciDRgKUVZBfwuhHeY11K5Mk7K6MHbHkrpTwp6a,2026-01-22T22:44:11.000Z,ARu4n5mFdZogZAravu7CcizaojWnS6oqka37gdLT5SZn,8psNvWTrdNTiVRNzAgsou9kETXNJm2SXZyaKuJraVRtf,4398.589171,TOKEN,success
3NqNdDkRGJMmrBXXzgVCQoKjCseUCexakoERDWqU939Utvzv7ciDRgKUVZBfwuhHeY11K5Mk7K6MHbHkrpTwp6a,2026-01-22T22:44:11.000Z,ARu4n5mFdZogZAravu7CcizaojWnS6oqka37gdLT5SZn,3UDRUc4RHo7o9nYcuNWZvkckPT48TiGZd4tEm6tqx33m,513082.48978,TOKEN,success
3NqNdDkRGJMmrBXXzgVCQoKjCseUCexakoERDWqU939Utvzv7ciDRgKUVZBfwuhHeY11K5Mk7K6MHbHkrpTwp6a,2026-01-22T22:44:11.000Z,3UDRUc4RHo7o9nYcuNWZvkckPT48TiGZd4tEm6tqx33m,ARu4n5mFdZogZAravu7CcizaojWnS6oqka37gdLT5SZn,0.011287965,TOKEN,success
3NqNdDkRGJMmrBXXzgVCQoKjCseUCexakoERDWqU939Utvzv7ciDRgKUVZBfwuhHeY11K5Mk7K6MHbHkrpTwp6a,2026-01-22T22:44:11.000Z,3UDRUc4RHo7o9nYcuNWZvkckPT48TiGZd4tEm6tqx33m,62qc2CNXwrYqQScmEdiZFFAnJR262PxWEuNQtxfafNgV,0.000106307,TOKEN,success
3NqNdDkRGJMmrBXXzgVCQoKjCseUCexakoERDWqU939Utvzv7ciDRgKUVZBfwuhHeY11K5Mk7K6MHbHkrpTwp6a,2026-01-22T22:44:11.000Z,3UDRUc4RHo7o9nYcuNWZvkckPT48TiGZd4tEm6tqx33m,6P3xzFnXzk2VM6GS6bGQdwzrqv2rjiZggQQT7ACnWfYo,0.000034293,TOKEN,success
3NqNdDkRGJMmrBXXzgVCQoKjCseUCexakoERDWqU939Utvzv7ciDRgKUVZBfwuhHeY11K5Mk7K6MHbHkrpTwp6a,2026-01-22T22:44:11.000Z,ARu4n5mFdZogZAravu7CcizaojWnS6oqka37gdLT5SZn,AF4jW3tHUQTgcPVPhpkgKbDr8fWeD87CG3J4dLXC1Qfn,0.011287965,TOKEN,success
